#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.453079    0.453079           0
           2     0.44457    0.448824  0.00300848
           3    0.456968    0.451539   0.0029891
           4    0.458081    0.453175  0.00265185
           5    0.456554     0.45385  0.00220591
           6     0.43678    0.451005  0.00318185
           7    0.459191    0.452175  0.00293432
           8    0.445584    0.451351  0.00268069
           9    0.455193    0.451778  0.00241659
          10    0.452926    0.451893  0.00217765
          11    0.440925    0.450896  0.00219609
          12    0.437768    0.449802  0.00226927
          13    0.457753    0.450413  0.00217558
          14    0.440339    0.449694  0.00213586
          15    0.447321    0.449535  0.00199932
          16    0.462382    0.450338  0.00202918
          17    0.452633    0.450473   0.0019143
          18    0.471383    0.451635  0.00213148
          19    0.463022    0.452234  0.00210186
          20    0.452751     0.45226  0.00199692
