#   N_BLOCK:  ACCEPTANCE:
           1    0.291805
           2    0.291624
           3    0.291802
           4    0.291937
           5     0.29172
           6    0.291583
           7    0.291553
           8    0.291269
           9    0.291316
          10    0.291113
          11    0.291095
          12    0.291133
          13    0.291208
          14    0.291143
          15    0.291207
          16    0.291181
          17    0.291136
          18    0.291208
          19    0.291273
          20    0.291176
