#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.391401    0.391401           0
           2    0.387166    0.389283  0.00149733
           3    0.389055    0.389207  0.00100015
           4    0.389419     0.38926 0.000751514
           5    0.377809     0.38697   0.0021349
           6     0.39309     0.38799  0.00200804
           7    0.390161      0.3883  0.00174496
           8    0.384712    0.387852  0.00158342
           9    0.382278    0.387232   0.0015238
          10    0.398673    0.388376  0.00174892
          11    0.391411    0.388652  0.00161154
          12    0.384293    0.388289  0.00151763
          13    0.394264    0.388749  0.00146884
          14    0.380296    0.388145  0.00148283
          15    0.394615    0.388576  0.00144535
          16    0.384797     0.38834  0.00137418
          17    0.388384    0.388342  0.00129335
          18    0.390156    0.388443  0.00122542
          19    0.393385    0.388703   0.0011882
          20    0.390239     0.38878  0.00113127
