#   N_BLOCK:  ACCEPTANCE:
           1   0.0760987
           2   0.0758433
           3    0.075961
           4    0.075911
           5   0.0758033
           6   0.0758649
           7   0.0754673
           8   0.0755299
           9   0.0759691
          10   0.0763167
          11   0.0765278
          12   0.0764868
          13   0.0761886
          14   0.0758793
          15   0.0758642
          16   0.0757745
          17    0.075717
          18   0.0756789
          19   0.0754809
          20   0.0754258
