#   N_BLOCK:  ACCEPTANCE:
           1   0.0587788
           2    0.059055
           3    0.058557
           4   0.0582072
           5   0.0578993
           6    0.057835
           7   0.0578658
           8   0.0576501
           9   0.0580915
          10   0.0581019
          11   0.0574069
          12   0.0570566
          13   0.0573838
          14   0.0572568
          15     0.05719
          16   0.0568411
          17   0.0568562
          18   0.0569458
          19   0.0568173
          20   0.0568318
