#   N_BLOCK:  ACCEPTANCE:
           1    0.476396
           2     0.47629
           3    0.476289
           4    0.476429
           5     0.47652
           6    0.476482
           7     0.47643
           8    0.476467
           9    0.476482
          10    0.476554
          11     0.47648
          12    0.476503
          13    0.476434
          14    0.476343
          15    0.476338
          16    0.476273
          17    0.476263
          18    0.476362
          19    0.476388
          20    0.476404
