#   N_BLOCK:  ACCEPTANCE:
           1    0.409305
           2    0.409245
           3    0.409449
           4    0.409526
           5    0.409302
           6      0.4092
           7    0.409176
           8     0.40921
           9    0.409357
          10    0.409441
          11    0.409396
          12    0.409492
          13    0.409364
          14    0.409312
          15    0.409378
          16    0.409317
          17    0.409285
          18     0.40927
          19    0.409219
          20    0.409154
