#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.384628    0.384628           0
           2    0.388805    0.386716   0.0014767
           3     0.38352    0.385651  0.00131371
           4    0.384804    0.385439  0.00100219
           5    0.370883    0.382528  0.00272458
           6    0.390952    0.383932  0.00260728
           7    0.380242    0.383405  0.00228749
           8    0.382666    0.383312  0.00200341
           9    0.374499    0.382333  0.00200592
          10    0.386127    0.382713  0.00184086
          11    0.376818    0.382177  0.00174976
          12    0.381873    0.382151  0.00160413
          13    0.379685    0.381962  0.00149191
          14    0.375295    0.381485  0.00145936
          15     0.37988    0.381378  0.00136599
          16    0.390618    0.381956  0.00139735
          17    0.388354    0.382332  0.00136489
          18    0.388037    0.382649  0.00132535
          19    0.386844     0.38287  0.00127386
          20    0.386304    0.383042  0.00122168
