#   N_BLOCK:  ACCEPTANCE:
           1    0.308483
           2    0.308439
           3     0.30865
           4    0.308788
           5    0.308478
           6    0.308304
           7    0.308233
           8    0.308143
           9    0.308149
          10    0.308006
          11    0.308036
          12     0.30799
          13    0.307977
          14    0.307932
          15    0.307888
          16    0.307866
          17    0.307884
          18    0.307896
          19    0.307912
          20    0.307801
