#   N_BLOCK:  ACCEPTANCE:
           1    0.305064
           2    0.305064
           3    0.305046
           4    0.305086
           5    0.304736
           6      0.3046
           7    0.304478
           8    0.304367
           9    0.304334
          10    0.304124
          11    0.304136
          12    0.304089
          13    0.304078
          14    0.304047
          15    0.303995
          16    0.303926
          17    0.303916
          18    0.303964
          19    0.303972
          20    0.303844
