#   N_BLOCK:  ACCEPTANCE:
           1    0.537699
           2    0.537758
           3    0.537752
           4    0.537766
           5     0.53777
           6    0.537728
           7    0.537736
           8    0.537721
           9    0.537695
          10    0.537732
          11    0.537764
          12    0.537769
          13    0.537802
          14    0.537783
          15    0.537777
          16    0.537783
          17    0.537763
          18    0.537774
          19     0.53776
          20    0.537774
