#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.297758    0.297758           0
           2    0.293944    0.295851  0.00134841
           3    0.296447     0.29605 0.000913483
           4    0.296805    0.296239 0.000704344
           5    0.297985    0.296588 0.000644328
           6    0.296927    0.296644 0.000539417
           7    0.297274    0.296734 0.000469802
           8    0.295725    0.296608 0.000427701
           9    0.297426    0.296699 0.000389709
          10    0.295271    0.296556 0.000375987
          11    0.297136    0.296609 0.000345474
          12    0.295352    0.296504 0.000332178
          13    0.294881    0.296379  0.00032926
          14    0.294632    0.296255  0.00032854
          15      0.2989    0.296431 0.000350794
          16    0.298311    0.296548 0.000347987
          17    0.295471    0.296485 0.000333241
          18    0.297552    0.296544 0.000319959
          19    0.298529    0.296649 0.000319711
          20    0.294009    0.296517 0.000329844
