#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.320218    0.320218           0
           2    0.322345    0.321282 0.000752035
           3     0.32138    0.321315 0.000502065
           4    0.321896     0.32146 0.000397064
           5    0.319943    0.321157 0.000417742
           6    0.320739    0.321087 0.000353874
           7    0.323346     0.32141 0.000425725
           8    0.322375     0.32153 0.000389237
           9    0.322731    0.321664 0.000368152
          10    0.320649    0.321562 0.000345044
          11    0.321536     0.32156 0.000313685
          12    0.320643    0.321484 0.000296711
          13    0.320904    0.321439 0.000277217
          14    0.322892    0.321543 0.000276156
          15    0.323937    0.321702  0.00030035
          16    0.322978    0.321782 0.000291972
          17    0.323604    0.321889 0.000293813
          18    0.320632    0.321819 0.000285675
          19    0.324022    0.321935 0.000293212
          20    0.320997    0.321888 0.000282281
