#   N_BLOCK:  ACCEPTANCE:
           1    0.506567
           2    0.506404
           3    0.506459
           4    0.506493
           5     0.50656
           6    0.506634
           7    0.506664
           8    0.506785
           9    0.506887
          10    0.506858
          11    0.506756
          12    0.506738
          13    0.506729
          14    0.506673
          15    0.506627
          16    0.506622
          17    0.506588
          18    0.506628
          19    0.506636
          20     0.50663
