#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        -0.2        -0.2           0
           2       -0.12       -0.16   0.0282843
           3       -0.12   -0.146667   0.0217732
           4       -0.08       -0.13   0.0217945
           5       -0.12      -0.128   0.0175271
           6        0.04        -0.1   0.0294392
           7        0.04       -0.08   0.0312984
           8        0.32       -0.03   0.0541987
           9        0.48   0.0266667   0.0719396
          10        0.56        0.08   0.0821706
          11        0.52        0.12   0.0838732
          12        0.52    0.153333   0.0832444
          13         0.4    0.172308   0.0789738
          14         0.4    0.188571   0.0749888
          15        0.48       0.208   0.0724627
          16         0.6      0.2325   0.0719565
          17        0.64    0.256471   0.0716051
          18         0.4    0.264444   0.0680696
          19         0.4    0.271579   0.0648598
          20         0.4       0.278   0.0619338
          21         0.2    0.274286   0.0590959
          22        0.28    0.274545   0.0564103
          23        0.24    0.273043   0.0539776
          24        0.24    0.271667   0.0517461
          25         0.4      0.2768   0.0499303
          26        0.48    0.284615   0.0486177
          27        0.56    0.294815   0.0478749
          28        0.44         0.3   0.0464451
          29         0.6    0.310345   0.0459811
          30        0.44    0.314667   0.0446511
          31         0.4    0.317419   0.0432955
          32        0.52     0.32375   0.0424028
          33        0.44    0.327273   0.0412639
          34         0.4    0.329412   0.0401057
          35        0.24    0.326857   0.0390411
          36        0.12    0.321111   0.0383771
          37        0.12    0.315676   0.0377229
          38        0.16    0.311579    0.036952
          39        0.16    0.307692   0.0362083
          40        0.16       0.304   0.0354908
          41        0.12    0.299512   0.0349078
          42        0.32         0.3   0.0340801
          43        0.28    0.299535   0.0332907
          44        0.24    0.298182   0.0325616
          45        0.24    0.296889   0.0318636
          46        0.16    0.293913   0.0313096
          47         0.2    0.291915   0.0307071
          48         0.2        0.29    0.030127
          49        0.12    0.286531   0.0297113
          50        0.08      0.2824   0.0294028
          51        0.12    0.279216   0.0289982
          52           0    0.273846   0.0289334
          53           0    0.268679   0.0288451
          54           0    0.263704   0.0287369
          55        0.08    0.260364   0.0284078
          56        0.12    0.257857   0.0280109
          57        0.28    0.258246   0.0275222
          58        0.28    0.258621   0.0270502
          59        0.24    0.258305   0.0265936
          60         0.4    0.260667    0.026255
          61        0.36    0.262295   0.0258751
          62        0.24    0.261935   0.0254602
          63         0.2    0.260952   0.0250751
          64        0.08    0.258125   0.0248422
          65           0    0.254154   0.0247753
          66        0.12    0.252121   0.0244832
          67        0.08    0.249552   0.0242522
          68        0.08    0.247059   0.0240234
          69        0.32    0.248116   0.0236984
          70        0.36    0.249714   0.0234137
          71        0.48    0.252958   0.0233075
          72        0.64    0.258333   0.0235956
          73        0.52    0.261918    0.023543
          74        0.36    0.263243   0.0232622
          75        0.32       0.264   0.0229643
          76        0.28    0.264211   0.0226631
          77        0.24    0.263896    0.022371
          78        0.32    0.264615   0.0220957
          79        0.32    0.265316   0.0218272
          80        0.56       0.269   0.0218629
          81         0.8    0.275556   0.0225544
          82        0.68    0.280488   0.0228123
          83        0.48    0.282892   0.0226638
          84        0.48    0.285238   0.0225151
          85        0.48    0.287529   0.0223665
          86         0.4    0.288837   0.0221446
          87         0.2    0.287816   0.0219136
          88        0.24    0.287273   0.0216713
          89        0.16    0.285843    0.021475
          90        0.28    0.285778   0.0212365
