#   N_BLOCK:  ACCEPTANCE:
           1   0.0793868
           2   0.0790761
           3   0.0787282
           4   0.0784208
           5   0.0779479
           6   0.0780164
           7   0.0777983
           8   0.0780556
           9   0.0787655
          10   0.0786632
          11   0.0783153
          12   0.0784001
          13   0.0785379
          14   0.0781397
          15   0.0781045
          16   0.0779791
          17   0.0779604
          18     0.07806
          19   0.0779518
          20    0.077718
