#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.244207    0.244207           0
           2    0.246483    0.245345 0.000804763
           3    0.247213    0.245968 0.000739187
           4    0.250373    0.247069  0.00110326
           5    0.244999    0.246655 0.000957142
           6    0.245314    0.246432 0.000823284
           7    0.244773    0.246195 0.000738971
           8    0.245958    0.246165 0.000647191
           9    0.243748    0.245897 0.000628539
          10    0.245207    0.245828 0.000569452
          11    0.247703    0.245998 0.000542613
          12    0.246007    0.245999 0.000497395
          13    0.243536     0.24581 0.000493895
          14    0.246725    0.245875 0.000462928
          15    0.244624    0.245792 0.000439512
          16     0.24872    0.245975 0.000448538
          17    0.245401    0.245941 0.000423422
          18    0.246465     0.24597 0.000400901
          19    0.244496    0.245892 0.000387233
          20    0.245184    0.245857 0.000369486
