#   N_BLOCK:  ACCEPTANCE:
           1    0.208173
           2    0.207934
           3    0.208294
           4    0.208467
           5    0.208587
           6    0.208613
           7    0.208553
           8    0.208452
           9    0.208607
          10    0.208368
          11    0.208243
          12    0.208393
          13    0.208435
          14    0.208351
          15    0.208517
          16    0.208589
          17    0.208576
          18    0.208674
          19      0.2087
          20    0.208643
