#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.25418     2.25418           0
           2     2.35029     2.30224   0.0339796
           3      2.3169     2.30712    0.023002
           4     2.30872     2.30752    0.017255
           5     2.29927     2.30587   0.0138828
           6     2.23945      2.2948    0.015361
           7     2.30513     2.29628   0.0132373
           8     2.24415     2.28976   0.0130884
           9     2.30236     2.29116   0.0117087
          10     2.26146     2.28819    0.010908
          11     2.22587     2.28253   0.0112921
          12     2.32346     2.28594   0.0108541
          13     2.29413     2.28657   0.0100374
          14     2.20493     2.28074   0.0108831
          15     2.28104     2.28076   0.0101576
          16     2.24229     2.27835  0.00980318
          17     2.25714      2.2771  0.00930558
          18     2.33038     2.28006  0.00924736
          19     2.25648     2.27882  0.00884357
          20     2.35712     2.28274  0.00922733
