#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.281525    0.281525           0
           2    0.280905    0.281215 0.000218991
           3    0.284603    0.282345 0.000933669
           4    0.292082    0.284779  0.00222139
           5    0.284474    0.284718  0.00177795
           6       0.282    0.284265  0.00153824
           7    0.284602    0.284313  0.00131924
           8    0.282036    0.284028  0.00118464
           9    0.286341    0.284285  0.00108053
          10    0.280297    0.283887   0.0010435
          11    0.287889     0.28425  0.00101008
          12    0.287783    0.284545 0.000967863
          13     0.28539     0.28461 0.000895594
          14    0.283886    0.284558 0.000833114
          15    0.279078    0.284193 0.000853933
          16    0.287479    0.284398 0.000824897
          17    0.280052    0.284143 0.000815027
          18    0.283238    0.284092 0.000771294
          19    0.277642    0.283753  0.00080194
          20    0.288018    0.283966 0.000789688
