#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         179     1.82857     11.8244    0.857668
         180     4.11429     11.7816    0.853972
         181         5.6     11.7474    0.849937
         182     4.11429     11.7055    0.846301
         183     4.11429      11.664    0.842693
         184     2.85714     11.6161    0.839471
         185     9.25714     11.6034     0.83503
         186     9.25714     11.5908    0.830636
         187     19.3143     11.6321     0.82722
         188     19.3143     11.6729    0.823829
         189     19.3143     11.7134    0.820461
         190     13.8286     11.7245    0.816219
         191     16.4571     11.7493    0.812321
         192     11.4286     11.7476    0.808092
         193     13.8286     11.7584    0.803977
         194     9.25714     11.7455    0.799936
         195     9.25714     11.7327    0.795936
         196     11.4286     11.7312    0.791876
         197     13.8286     11.7418    0.787928
         198     16.4571     11.7657    0.784309
         199     9.25714     11.7531    0.780469
         200     7.31429     11.7309    0.776882
         201         5.6     11.7004    0.773615
         202     7.31429     11.6786     0.77009
         203         5.6     11.6487    0.766879
         204    0.457143     11.5938    0.765079
         205     4.11429     11.5574    0.762217
         206     4.11429     11.5212    0.759372
         207     2.85714     11.4794    0.756857
         208    0.457143     11.4264    0.755071
         209           0     11.3717    0.753434
         210     1.82857     11.3263    0.751216
         211     4.11429     11.2921    0.748433
         212         5.6     11.2652    0.745384
         213     13.8286     11.2773    0.741982
         214     16.4571     11.3015    0.738909
         215     11.4286     11.3021    0.735473
         216     16.4571     11.3259    0.732455
         217     25.7143     11.3922    0.732074
         218     29.2571     11.4742    0.733289
         219     29.2571     11.5554    0.734422
         220     16.4571     11.5777    0.731422
         221     25.7143     11.6416    0.730904
         222        22.4     11.6901    0.729217
         223     16.4571     11.7115     0.72626
         224     11.4286     11.7102    0.723019
         225     16.4571     11.7313    0.720113
         226     13.8286     11.7406    0.716986
         227     13.8286     11.7498    0.713887
         228     19.3143      11.783    0.711526
         229     33.0286     11.8757    0.714442
         230     37.0286     11.9851    0.719657
         231     41.2571     12.1118    0.727613
         232     41.2571     12.2374    0.735242
         233     37.0286     12.3438    0.739745
         234     37.0286     12.4493    0.744067
         235        50.4     12.6108    0.758223
         236        50.4     12.7709    0.771733
         237     55.3143     12.9505    0.789078
         238     60.4571     13.1501    0.810616
         239     71.4286     13.3939    0.843102
         240     71.4286     13.6357    0.873579
         241     71.4286     13.8755    0.902268
         242     71.4286     14.1133    0.929354
         243     71.4286     14.3492    0.954991
         244     71.4286     14.5831     0.97931
         245     71.4286     14.8152     1.00242
         246     71.4286     15.0453     1.02442
         247     71.4286     15.2736      1.0454
         248     71.4286        15.5     1.06542
         249     71.4286     15.7246     1.08456
         250     71.4286     15.9474     1.10288
         251     71.4286     16.1685     1.12041
         252     71.4286     16.3878     1.13722
         253     65.8286     16.5832      1.1494
         254     65.8286     16.7771     1.16111
         255     71.4286     16.9914     1.17617
         256     71.4286      17.204     1.19064
         257     71.4286      17.415     1.20456
         258     71.4286     17.6244     1.21795
         259     65.8286     17.8105     1.22738
         260     37.0286     17.8844     1.22489
         261     55.3143     18.0278     1.22856
         262     60.4571     18.1897      1.2345
         263     60.4571     18.3505     1.24022
         264     55.3143     18.4905      1.2434
         265     60.4571     18.6488     1.24875
         266     71.4286     18.8473     1.25972
         267     71.4286     19.0442     1.27031
         268     71.4286     19.2397     1.28052
         269     71.4286     19.4337     1.29037
         270     71.4286     19.6262     1.29988
         271     71.4286     19.8174     1.30906
         272     71.4286     20.0071     1.31793
         273     71.4286     20.1955     1.32649
         274     71.4286     20.3825     1.33477
         275     71.4286     20.5681     1.34276
         276     60.4571     20.7126     1.34565
         277     45.7143     20.8029     1.34381
         278     37.0286     20.8613     1.34025
         279     33.0286     20.9049     1.33615
         280     29.2571     20.9347     1.33171
         281     29.2571     20.9643      1.3273
         282     33.0286     21.0071     1.32329
         283     33.0286     21.0496     1.31929
         284     33.0286     21.0918     1.31532
         285     29.2571     21.1204     1.31102
         286     25.7143     21.1365     1.30653
         287     29.2571     21.1648     1.30229
         288     37.0286     21.2198     1.29893
         289     33.0286     21.2607     1.29508
         290     25.7143     21.2761      1.2907
         291        22.4     21.2799     1.28627
         292     25.7143     21.2951     1.28196
         293     37.0286     21.3488     1.27871
         294     41.2571     21.4165     1.27615
         295     60.4571     21.5489     1.27867
         296     65.8286     21.6985     1.28307
         297     60.4571      21.829     1.28537
         298     60.4571     21.9586     1.28757
         299     60.4571     22.0873     1.28969
         300     60.4571     22.2152     1.29171
         301     71.4286     22.3787     1.29773
         302     71.4286     22.5412     1.30356
         303     71.4286     22.7025      1.3092
         304     71.4286     22.8628     1.31467
         305     71.4286      23.022     1.31997
         306     71.4286     23.1802      1.3251
         307     71.4286     23.3374     1.33007
         308     71.4286     23.4935     1.33488
         309     71.4286     23.6486     1.33955
         310     71.4286     23.8028     1.34407
         311     71.4286     23.9559     1.34844
         312     71.4286     24.1081     1.35267
         313     71.4286     24.2592     1.35678
         314     71.4286     24.4095     1.36074
         315     71.4286     24.5587     1.36459
         316     71.4286     24.7071     1.36831
         317     71.4286     24.8544      1.3719
         318     65.8286     24.9833     1.37363
         319     60.4571     25.0945     1.37382
         320     60.4571      25.205     1.37396
         321     71.4286      25.349     1.37721
         322     71.4286     25.4921     1.38034
         323     71.4286     25.6343     1.38338
         324     71.4286     25.7757     1.38631
         325     71.4286     25.9161     1.38914
         326     71.4286     26.0557     1.39188
         327     71.4286     26.1945     1.39452
         328     71.4286     26.3324     1.39707
         329     71.4286     26.4695     1.39953
         330     71.4286     26.6057     1.40191
         331     71.4286     26.7411      1.4042
         332     65.8286     26.8589     1.40489
         333     55.3143     26.9443     1.40327
         334     65.8286     27.0607     1.40389
         335     71.4286     27.1932     1.40593
         336     71.4286     27.3248      1.4079
         337     71.4286     27.4557     1.40979
         338     71.4286     27.5858     1.41161
         339     71.4286     27.7151     1.41336
         340     71.4286     27.8437     1.41504
         341     71.4286     27.9715     1.41665
         342     65.8286     28.0822     1.41682
         343     65.8286     28.1923     1.41696
         344     60.4571      28.286     1.41594
         345     55.3143     28.3644       1.414
         346     65.8286     28.4727     1.41406
         347     71.4286     28.5965     1.41539
         348     71.4286     28.7195     1.41666
         349     71.4286     28.8419     1.41788
         350     71.4286     28.9636     1.41904
         351     71.4286     29.0846     1.42015
         352     71.4286     29.2049      1.4212
         353     71.4286     29.3245      1.4222
         354     71.4286     29.4434     1.42314
         355     71.4286     29.5617     1.42404
         356     71.4286     29.6793     1.42489
         357     60.4571     29.7655      1.4235
         358     65.8286     29.8662     1.42309
         359     55.3143     29.9371     1.42089
         360     55.3143     30.0076     1.41869
         361     45.7143     30.0511     1.41542
         362     45.7143     30.0944     1.41218
         363     41.2571     30.1251     1.40862
         364        50.4     30.1808     1.40585
         365     55.3143     30.2497     1.40368
         366     60.4571     30.3322     1.40227
         367     65.8286      30.429     1.40178
         368     71.4286     30.5404      1.4024
         369     71.4286     30.6512     1.40297
         370     71.4286     30.7614      1.4035
         371     71.4286      30.871     1.40399
         372     71.4286       30.98     1.40444
         373     71.4286     31.0885     1.40485
         374     71.4286     31.1963     1.40523
         375     71.4286     31.3036     1.40558
         376     71.4286     31.4103     1.40588
         377     71.4286     31.5165     1.40615
         378     71.4286     31.6221     1.40639
         379     71.4286     31.7271      1.4066
         380     65.8286     31.8168     1.40576
         381     65.8286     31.9061      1.4049
         382        50.4     31.9545     1.40206
         383     55.3143     32.0155     1.39972
         384     41.2571     32.0396     1.39628
         385     41.2571     32.0635     1.39286
         386     45.7143     32.0989      1.3897
         387     45.7143     32.1341     1.38656
         388     41.2571     32.1576     1.38318
         389     41.2571      32.181     1.37982
         390     41.2571     32.2042     1.37648
         391        50.4     32.2508     1.37375
         392        50.4     32.2971     1.37102
         393     41.2571     32.3199     1.36772
         394     41.2571     32.3426     1.36444
         395     37.0286     32.3544     1.36104
         396        50.4        32.4     1.35836
         397        50.4     32.4453      1.3557
         398        50.4     32.4905     1.35304
         399     55.3143     32.5477     1.35086
         400     60.4571     32.6174     1.34928
         401     71.4286     32.7142     1.34939
         402     71.4286     32.8105     1.34946
         403     71.4286     32.9063     1.34951
         404     60.4571     32.9745     1.34789
         405        50.4     33.0176     1.34525
         406        50.4     33.0604     1.34262
         407     41.2571     33.0805     1.33947
         408        50.4      33.123     1.33686
         409     55.3143     33.1772     1.33469
         410     65.8286     33.2569     1.33381
         411     60.4571      33.323     1.33221
         412     55.3143     33.3764     1.33004
         413     55.3143     33.4295     1.32788
         414     37.0286     33.4382      1.3247
         415     41.2571     33.4571     1.32164
         416     41.2571     33.4758      1.3186
         417     41.2571     33.4945     1.31557
         418     33.0286     33.4934     1.31242
         419     33.0286     33.4923     1.30929
         420     25.7143     33.4737     1.30631
         421        22.4     33.4474     1.30347
         422     29.2571     33.4375     1.30042
         423     29.2571     33.4276     1.29738
         424     33.0286     33.4267     1.29432
         425     29.2571     33.4169     1.29131
         426     29.2571     33.4071     1.28832
         427     37.0286     33.4156     1.28533
         428     37.0286      33.424     1.28235
         429     37.0286     33.4324     1.27939
         430     37.0286     33.4408     1.27644
         431     37.0286     33.4491     1.27351
         432        50.4     33.4884     1.27117
         433     55.3143     33.5388     1.26923
         434     55.3143     33.5889      1.2673
         435        50.4     33.6276     1.26497
         436     37.0286     33.6354     1.26209
         437     33.0286      33.634     1.25921
         438     37.0286     33.6417     1.25636
         439     37.0286     33.6495     1.25352
         440     41.2571     33.6668     1.25079
         441     37.0286     33.6744     1.24797
         442     37.0286      33.682     1.24517
         443        22.4     33.6565     1.24262
         444        22.4     33.6311     1.24008
         445     25.7143     33.6134     1.23742
         446     29.2571     33.6036     1.23469
         447     29.2571     33.5939     1.23197
         448     29.2571     33.5842     1.22925
         449     37.0286     33.5919     1.22654
         450     37.0286     33.5995     1.22384
         451     37.0286     33.6071     1.22115
         452     37.0286     33.6147     1.21847
         453     37.0286     33.6222      1.2158
         454     29.2571     33.6126     1.21316
         455     29.2571      33.603     1.21053
         456     25.7143     33.5857       1.208
         457        22.4     33.5612     1.20561
         458        22.4     33.5369     1.20322
         459        22.4     33.5126     1.20085
         460     9.25714     33.4599     1.19939
         461     7.31429     33.4032     1.19813
         462     7.31429     33.3467     1.19687
         463     19.3143     33.3164     1.19467
         464        22.4     33.2929     1.19232
         465     29.2571     33.2842     1.18979
         466     33.0286     33.2836     1.18724
         467     29.2571      33.275     1.18473
         468        22.4     33.2518     1.18242
         469        22.4     33.2286     1.18013
         470        22.4     33.2056     1.17784
         471     19.3143     33.1761     1.17571
         472     19.3143     33.1467     1.17359
         473     19.3143     33.1175     1.17147
         474        22.4     33.0949     1.16922
         475     19.3143     33.0659     1.16711
         476     19.3143      33.037     1.16502
         477     16.4571     33.0022      1.1631
         478     13.8286     32.9621     1.16135
         479     16.4571     32.9276     1.15944
         480     7.31429     32.8743     1.15825
         481     9.25714     32.8252     1.15688
         482     11.4286     32.7808     1.15534
         483     13.8286     32.7416     1.15361
         484     16.4571     32.7079     1.15172
         485        22.4     32.6867     1.14954
         486     29.2571     32.6796     1.14719
         487     25.7143     32.6653     1.14493
         488     29.2571     32.6583      1.1426
         489     25.7143     32.6441     1.14035
         490        22.4     32.6232     1.13822
         491     25.7143     32.6091     1.13599
         492     29.2571     32.6023      1.1337
         493        22.4     32.5816     1.13159
         494     19.3143     32.5548     1.12962
         495        22.4     32.5343     1.12752
         496     19.3143     32.5076     1.12556
         497     29.2571     32.5011     1.12332
         498     25.7143     32.4874     1.12114
         499     25.7143     32.4739     1.11898
         500     33.0286      32.475     1.11674
         501     33.0286     32.4761     1.11451
         502     29.2571     32.4697     1.11231
         503     29.2571     32.4633     1.11012
         504     29.2571     32.4569     1.10793
         505     29.2571     32.4506     1.10576
         506        22.4     32.4307     1.10375
         507     29.2571     32.4245     1.10159
         508     25.7143     32.4112      1.0995
         509     25.7143     32.3981     1.09742
         510     25.7143      32.385     1.09535
         511     25.7143     32.3719     1.09328
         512     33.0286     32.3732     1.09115
         513        22.4     32.3538     1.08919
         514     11.4286     32.3131     1.08784
         515     16.4571     32.2823     1.08616
         516     9.25714     32.2377     1.08497
         517     7.31429     32.1894     1.08394
         518     4.11429     32.1352      1.0832
         519     4.11429     32.0813     1.08246
         520     1.82857     32.0231     1.08194
         521     1.02857     31.9636      1.0815
         522    0.114286     31.9026     1.08115
         523     1.02857     31.8435     1.08069
         524     1.82857     31.7863     1.08014
         525     4.11429     31.7336     1.07937
         526     4.11429      31.681      1.0786
         527         5.6     31.6316     1.07769
         528     7.31429     31.5855     1.07663
         529     7.31429     31.5396     1.07557
         530     11.4286     31.5017     1.07421
         531     9.25714     31.4598       1.073
         532         5.6     31.4112     1.07209
         533     7.31429      31.366     1.07103
         534     7.31429     31.3209     1.06997
         535         5.6     31.2728     1.06905
         536     4.11429     31.2222     1.06825
         537     7.31429     31.1777     1.06719
         538     9.25714     31.1369     1.06599
         539         5.6     31.0895     1.06506
         540         5.6     31.0423     1.06413
         541     7.31429     30.9985     1.06307
         542     4.11429     30.9489     1.06227
         543     1.82857     30.8952     1.06166
         544     1.82857     30.8418     1.06105
         545     2.85714     30.7905     1.06035
         546     9.25714      30.751     1.05914
         547     7.31429     30.7082     1.05807
         548     2.85714     30.6574     1.05736
         549     9.25714     30.6184     1.05615
         550     11.4286     30.5835     1.05481
         551     16.4571     30.5578      1.0532
         552     13.8286     30.5275     1.05173
         553     16.4571     30.5021     1.05014
         554     19.3143     30.4819     1.04844
         555     16.4571     30.4566     1.04685
         556     19.3143     30.4366     1.04516
         557        22.4     30.4222     1.04338
         558     16.4571     30.3971     1.04182
         559     11.4286     30.3632      1.0405
         560     7.31429      30.322     1.03946
         561     4.11429     30.2753     1.03866
         562     9.25714     30.2379     1.03748
         563     7.31429     30.1972     1.03644
         564    0.457143     30.1445     1.03594
         565         5.6      30.101     1.03502
         566     11.4286      30.068     1.03371
         567        22.4     30.0545     1.03198
         568        22.4      30.041     1.03025
         569     19.3143     30.0222     1.02861
         570        22.4     30.0088     1.02689
         571     25.7143     30.0013     1.02512
         572     41.2571      30.021     1.02352
         573     45.7143     30.0484      1.0221
         574     29.2571      30.047     1.02032
         575     13.8286     30.0188     1.01894
         576     9.25714     29.9827      1.0178
         577     25.7143     29.9753     1.01607
         578     29.2571     29.9741     1.01431
         579     37.0286     29.9863     1.01263
         580     41.2571     30.0057     1.01107
         581     29.2571     30.0044     1.00933
         582     33.0286     30.0096     1.00761
         583     33.0286     30.0148      1.0059
         584     19.3143     29.9965     1.00434
         585     33.0286     30.0017     1.00264
         586     41.2571     30.0209     1.00111
         587     37.0286     30.0328    0.999476
         588        22.4     30.0198    0.997861
         589        22.4     30.0069     0.99625
         590        22.4      29.994    0.994645
         591        22.4     29.9811    0.993045
         592     16.4571     29.9583     0.99163
         593     16.4571     29.9355    0.990219
         594        22.4     29.9228    0.988634
         595     25.7143     29.9158    0.986997
         596        22.4     29.9032    0.985422
         597     16.4571     29.8806    0.984029
         598     11.4286     29.8498    0.982867
         599     9.25714     29.8154    0.981827
         600     7.31429     29.7779    0.980907
         601     9.25714     29.7438    0.979869
         602     7.31429     29.7065    0.978949
         603     9.25714     29.6726    0.977913
         604     11.4286     29.6424     0.97676
         605     13.8286     29.6162    0.975495
         606     13.8286     29.5902    0.974233
         607     13.8286     29.5642    0.972974
         608     13.8286     29.5383    0.971718
         609     16.4571     29.5169     0.97036
         610     25.7143     29.5106    0.968789
         611     29.2571     29.5102    0.967204
         612     33.0286      29.516     0.96564
         613     45.7143     29.5424    0.964427
         614     55.3143     29.5844    0.963769
         615     55.3143     29.6262    0.963109
         616        50.4     29.6599    0.962136
         617     45.7143     29.6859    0.960929
         618     29.2571     29.6853    0.959374
         619        22.4     29.6735    0.957896
         620        22.4     29.6618    0.956423
         621     16.4571     29.6405    0.955119
         622        22.4     29.6288    0.953655
         623        22.4     29.6172    0.952194
         624        22.4     29.6057    0.950739
         625     25.7143     29.5995    0.949238
         626     37.0286     29.6113    0.947796
         627     37.0286     29.6231    0.946358
         628     25.7143     29.6169    0.944872
         629     29.2571     29.6164     0.94337
         630     29.2571     29.6158    0.941872
         631        22.4     29.6043    0.940449
         632     25.7143     29.5982    0.938981
         633     11.4286     29.5695    0.937936
         634     13.8286     29.5447    0.936786
         635     7.31429     29.5097    0.935964
         636     9.25714     29.4778    0.935034
         637     9.25714     29.4461    0.934105
         638     9.25714     29.4144    0.933177
         639     4.11429     29.3748    0.932556
         640         5.6     29.3377    0.931838
         641     4.11429     29.2983    0.931215
         642     1.82857     29.2555    0.930747
         643     1.82857     29.2129    0.930276
