#   N_BLOCK:  ACCEPTANCE:
           1    0.279435
           2    0.279404
           3    0.279408
           4     0.27943
           5    0.279458
           6     0.27944
           7     0.27937
           8    0.279309
           9    0.279306
          10    0.279319
          11    0.279344
          12    0.279368
          13    0.279295
          14    0.279272
          15    0.279238
          16    0.279234
          17    0.279241
          18    0.279252
          19    0.279255
          20    0.279332
