#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.21334     0.21334           0
           2    -0.13286     0.04024      0.1224
           3    -0.13718     -0.0189   0.0948171
           4     0.05878     0.00052   0.0730745
           5    -0.19442   -0.038468   0.0680704
           6    -0.08596  -0.0463833   0.0571837
           7     0.44034   0.0231486   0.0809101
           8     -0.2902    -0.01602   0.0797153
           9      0.0607 -0.00749556   0.0713124
          10    -0.09848   -0.016594   0.0647589
          11     0.15938-0.000596364   0.0608156
          12    -0.01962 -0.00218167   0.0557683
          13      0.1414  0.00886308   0.0525608
          14    -0.20634 -0.00650857   0.0510047
          15    -0.45486  -0.0363987   0.0556779
          16    -0.09396  -0.0399962   0.0523142
          17     0.39152  -0.0146129   0.0550516
          18    -0.27712  -0.0291967   0.0538903
          19      0.0473  -0.0251705   0.0512041
          20      0.1073   -0.018547   0.0490704
