#   N_BLOCK:  ACCEPTANCE:
           1    0.141208
           2    0.141196
           3    0.140982
           4     0.14098
           5     0.14104
           6    0.140992
           7    0.140873
           8    0.140824
           9     0.14085
          10    0.140842
          11    0.140969
          12    0.140998
          13    0.140968
          14     0.14097
          15    0.141026
          16    0.141018
          17    0.141118
          18    0.141136
          19    0.141092
          20    0.141133
