#   N_BLOCK:  ACCEPTANCE:
           1    0.335487
           2    0.335435
           3    0.335666
           4    0.335815
           5    0.335715
           6    0.335622
           7    0.335586
           8    0.335494
           9    0.335679
          10    0.335717
          11    0.335773
          12    0.335728
          13    0.335685
          14    0.335643
          15    0.335692
          16    0.335651
          17    0.335656
          18    0.335689
          19    0.335714
          20    0.335557
