#   N_BLOCK:  ACCEPTANCE:
           1    0.115753
           2    0.116238
           3    0.116164
           4    0.116338
           5    0.116607
           6    0.116845
           7    0.116754
           8    0.117076
           9    0.117546
          10    0.117735
          11    0.117706
          12    0.117772
          13     0.11771
          14    0.117493
          15    0.117649
          16    0.117554
          17    0.117444
          18      0.1175
          19     0.11735
          20    0.117403
