#   N_BLOCK:  ACCEPTANCE:
           1    0.379821
           2    0.379992
           3    0.380228
           4    0.380301
           5    0.380195
           6    0.380264
           7    0.380248
           8    0.380203
           9    0.380387
          10    0.380455
          11    0.380539
          12     0.38057
          13    0.380459
          14    0.380448
          15    0.380515
          16     0.38049
          17    0.380444
          18    0.380499
          19    0.380487
          20    0.380383
