#   N_BLOCK:  ACCEPTANCE:
           1      0.3315
           2    0.331591
           3    0.331904
           4    0.332131
           5    0.332106
           6    0.332002
           7    0.331901
           8     0.33174
           9    0.331974
          10    0.332013
          11    0.332099
          12    0.332047
          13    0.332011
          14     0.33201
          15    0.332019
          16    0.332001
          17    0.332035
          18    0.332056
          19    0.332074
          20    0.331926
