#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         179        0.68    0.575196   0.0156268
         180        0.72       0.576   0.0155606
         181         0.8    0.577238   0.0155238
         182        0.76    0.578242   0.0154709
         183        0.76    0.579235   0.0154183
         184        0.64    0.579565    0.015338
         185         0.6    0.579676   0.0152555
         186        0.56     0.57957   0.0151738
         187        0.44    0.578824    0.015111
         188        0.52    0.578511   0.0150339
         189        0.52    0.578201   0.0149575
         190        0.64    0.578526   0.0148824
         191        0.64    0.578848   0.0148079
         192        0.76    0.579792   0.0147608
         193        0.72    0.580518   0.0147022
         194        0.68    0.581031   0.0146354
         195        0.68    0.581538   0.0145691
         196        0.64    0.581837   0.0144978
         197        0.64    0.582132   0.0144272
         198        0.68    0.582626   0.0143628
         199        0.76    0.583518   0.0143183
         200        0.84      0.5848    0.014304
         201        0.72    0.585473   0.0142487
         202         0.8    0.586535   0.0142176
         203        0.76    0.587389   0.0141733
         204        0.72    0.588039   0.0141187
         205        0.76    0.588878   0.0140747
         206        0.84    0.590097   0.0140591
         207        0.68    0.590531   0.0139979
         208         0.6    0.590577   0.0139306
         209        0.72    0.591196   0.0138777
         210        0.72     0.59181   0.0138252
         211        0.76    0.592607   0.0137826
         212        0.76    0.593396   0.0137402
         213        0.76    0.594178    0.013698
         214        0.76    0.594953   0.0136559
         215        0.84    0.596093   0.0136398
         216        0.92    0.597593   0.0136589
         217        0.88    0.598894   0.0136578
         218         0.8    0.599817   0.0136262
         219        0.88    0.601096   0.0136239
         220        0.92    0.602545   0.0136389
         221        0.76    0.603258   0.0135958
         222        0.96    0.604865   0.0136292
         223        0.96    0.606457   0.0136608
         224           1    0.608214   0.0137123
         225           1    0.609956   0.0137615
         226           1    0.611681   0.0138084
         227           1    0.613392   0.0138531
         228           1    0.615088   0.0138958
         229           1    0.616769   0.0139364
         230           1    0.618435    0.013975
         231           1    0.620087   0.0140118
         232           1    0.621724   0.0140468
         233           1    0.623348     0.01408
         234           1    0.624957   0.0141115
         235           1    0.626553   0.0141414
         236           1    0.628136   0.0141698
         237           1    0.629705   0.0141966
         238           1    0.631261   0.0142219
         239           1    0.632803   0.0142459
         240           1    0.634333   0.0142684
         241           1    0.635851   0.0142897
         242           1    0.637355   0.0143096
         243           1    0.638848   0.0143284
         244           1    0.640328   0.0143459
         245           1    0.641796   0.0143622
         246           1    0.643252   0.0143775
         247           1    0.644696   0.0143916
         248           1    0.646129   0.0144047
         249           1     0.64755   0.0144168
         250           1     0.64896   0.0144279
         251           1    0.650359   0.0144381
         252           1    0.651746   0.0144473
         253           1    0.653123   0.0144556
         254           1    0.654488   0.0144631
         255           1    0.655843   0.0144697
         256           1    0.657188   0.0144755
         257           1    0.658521   0.0144805
         258           1    0.659845   0.0144847
         259        0.96    0.661004   0.0144751
         260        0.88    0.661846   0.0144439
         261        0.96    0.662989   0.0144337
         262           1    0.664275   0.0144358
         263           1    0.665551   0.0144372
         264           1    0.666818    0.014438
         265           1    0.668075   0.0144382
         266           1    0.669323   0.0144377
         267           1    0.670562   0.0144366
         268           1    0.671791    0.014435
         269           1    0.673011   0.0144328
         270           1    0.674222   0.0144301
         271           1    0.675424   0.0144268
         272           1    0.676618   0.0144231
         273           1    0.677802   0.0144188
         274           1    0.678978    0.014414
         275           1    0.680145   0.0144088
         276        0.92    0.681014   0.0143828
         277           1    0.682166   0.0143769
         278           1    0.683309   0.0143706
         279           1    0.684444   0.0143638
         280           1    0.685571   0.0143567
         281           1     0.68669   0.0143491
         282           1    0.687801   0.0143412
         283           1    0.688905   0.0143329
         284           1        0.69   0.0143242
         285           1    0.691088   0.0143152
         286           1    0.692168   0.0143058
         287        0.92    0.692962    0.014278
         288        0.92     0.69375   0.0142501
         289        0.88    0.694394   0.0142154
         290        0.92    0.695172   0.0141877
         291         0.8    0.695533   0.0141435
         292        0.84    0.696027   0.0141037
         293        0.68    0.695973   0.0140557
         294        0.88    0.696599   0.0140218
         295        0.88     0.69722    0.013988
         296         0.8    0.697568   0.0139451
         297        0.72    0.697643   0.0138983
         298         0.8    0.697987   0.0138559
         299        0.76    0.698194   0.0138111
         300        0.84    0.698667   0.0137732
         301        0.84    0.699136   0.0137354
         302        0.76    0.699338   0.0136914
         303        0.72    0.699406   0.0136464
         304        0.84    0.699868   0.0136094
         305        0.88    0.700459   0.0135775
         306        0.84    0.700915   0.0135408
         307        0.88    0.701498   0.0135093
         308         0.8    0.701818   0.0134692
         309        0.76    0.702006   0.0134269
         310        0.68    0.701935   0.0133838
         311        0.64    0.701736   0.0133423
         312        0.64    0.701538    0.013301
         313        0.48    0.700831   0.0132773
         314        0.44         0.7    0.013261
