#   N_BLOCK:  ACCEPTANCE:
           1     0.35685
           2    0.356794
           3      0.3569
           4    0.357004
           5    0.356914
           6    0.356926
           7    0.356947
           8    0.356976
           9    0.357205
          10    0.357202
          11    0.357313
          12    0.357302
          13    0.357194
          14    0.357194
          15    0.357188
          16    0.357112
          17    0.357051
          18    0.357065
          19    0.357042
          20    0.356893
