#   N_BLOCK:  ACCEPTANCE:
           1    0.281552
           2    0.281177
           3    0.281183
           4    0.281168
           5    0.281189
           6    0.281059
           7    0.280975
           8    0.280871
           9    0.280908
          10    0.280713
          11    0.280673
          12    0.280584
          13    0.280545
          14      0.2805
          15    0.280502
          16    0.280525
          17    0.280518
          18    0.280578
          19    0.280627
          20    0.280521
