#   N_BLOCK:  ACCEPTANCE:
           1    0.500135
           2    0.500138
           3    0.500185
           4    0.500265
           5    0.500278
           6    0.500226
           7    0.500075
           8     0.50013
           9    0.500177
          10    0.500221
          11    0.500133
          12    0.500155
          13    0.500132
          14    0.500082
          15    0.500072
          16    0.500054
          17    0.500015
          18    0.500057
          19    0.500069
          20    0.500078
