#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.877961   -0.877961           0
           2   -0.877488   -0.877724 0.000167386
           3   -0.873258   -0.876236  0.00122062
           4   -0.876055   -0.876191 0.000916299
           5   -0.877414   -0.876435 0.000764987
           6   -0.877347   -0.876587 0.000652423
           7   -0.878539   -0.876866 0.000615906
           8   -0.874071   -0.876517 0.000630279
           9   -0.873106   -0.876138 0.000664451
          10   -0.872941   -0.875818 0.000670505
          11   -0.878049   -0.876021 0.000639479
          12   -0.873324   -0.875796 0.000624433
          13   -0.876207   -0.875828 0.000577198
          14   -0.882125   -0.876278 0.000689322
          15   -0.878316   -0.876413 0.000656631
          16   -0.880551   -0.876672 0.000664566
          17   -0.878551   -0.876783 0.000634603
          18   -0.876579   -0.876771 0.000599448
          19   -0.877131    -0.87679 0.000568197
          20   -0.874019   -0.876652 0.000556423
