#   N_BLOCK:  ACCEPTANCE:
           1    0.125772
           2    0.125796
           3     0.12616
           4    0.126333
           5    0.126298
           6    0.126359
           7    0.126149
           8    0.126334
           9    0.126626
          10    0.126808
          11    0.126695
          12    0.126857
          13    0.126853
          14    0.126601
          15    0.126527
          16     0.12634
          17     0.12627
          18    0.126341
          19    0.126352
          20    0.126442
