I (unif),error (unif),I(i.s.),I(i.s.)
0.00650186,0.00398913
0.0129747,0.00495236
0.0238769,0.00657285
0.0374699,0.00789568
0.0503699,0.00868665
0.0653428,0.00927732
0.0874812,0.0107888
0.108547,0.0121093
0.134908,0.0124611
0.159774,0.0124496
0.186535,0.0126751
0.223615,0.0131618
0.264671,0.013831
0.305636,0.0146064
0.352508,0.0148612
0.39259,0.0154579
0.432543,0.0158325
0.502999,0.0170629
0.559758,0.0171768
0.602748,0.0173131
0.665178,0.017576
0.73696,0.0181901
0.800746,0.0187024
0.859826,0.0189039
0.936082,0.0194179
1.00174,0.0195765
1.06665,0.0193749
1.13831,0.0203334
1.22539,0.0206956
1.28278,0.0206012
1.35453,0.0210916
1.43885,0.0213219
1.52145,0.0218983
1.62047,0.0219318
1.70182,0.021915
1.79928,0.0227699
1.88969,0.0233345
1.99175,0.0238416
2.09595,0.0237802
2.20775,0.0233725
2.33518,0.024112
2.45471,0.0247567
2.55294,0.0247643
2.67945,0.0250473
2.79316,0.0250683
2.92622,0.0253786
3.05197,0.0254917
3.17975,0.0262431
3.30878,0.0270858
3.4397,0.0278373
3.58375,0.0279026
3.71934,0.0276817
3.85179,0.0284421
3.98505,0.0291222
4.10423,0.0283265
4.2446,0.0284499
4.4024,0.0279112
4.54588,0.0280447
4.69177,0.0281688
4.85157,0.0282753
5.00741,0.0282561
5.16235,0.0289176
5.34159,0.028842
5.50263,0.0287834
5.65837,0.0291364
5.816,0.0290007
5.99257,0.0292986
6.16418,0.0295153
6.35022,0.0297646
6.52323,0.0292067
6.74254,0.029691
6.9249,0.0295876
7.10548,0.0294429
7.30769,0.0301811
7.51764,0.0296847
7.70279,0.0299504
7.90066,0.029819
8.09283,0.0302314
8.2977,0.0304755
8.50918,0.031067
8.72791,0.030433
8.99021,0.0305987
9.20807,0.0310971
9.43606,0.0312129
9.66928,0.0320804
9.87504,0.0315852
10.0919,0.031947
10.2821,0.0322911
10.491,0.033226
10.7061,0.0330542
10.9431,0.0335313
11.1693,0.0335577
11.4096,0.0333278
11.624,0.0339999
11.852,0.0348694
12.0634,0.0348159
12.3205,0.0348841
12.5783,0.0353351
12.8203,0.0353473
13.0386,0.0354058
