#   N_BLOCK:  ACCEPTANCE:
           1    0.022447
           2      0.0229
           3   0.0230355
           4   0.0233236
           5    0.023228
           6   0.0228858
           7    0.022523
           8   0.0224461
           9   0.0224144
          10   0.0227156
          11   0.0223728
          12   0.0222642
          13   0.0223767
          14   0.0222357
          15   0.0225791
          16   0.0223769
          17    0.022414
          18    0.022443
          19   0.0222077
          20   0.0223628
