#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.13811     2.13811           0
           2     2.15326     2.14569  0.00535557
           3     2.13914      2.1435  0.00398982
           4     2.21213     2.16066    0.015157
           5       2.146     2.15773   0.0124062
           6     2.16754     2.15936   0.0104457
           7     2.20489     2.16587   0.0107898
           8     2.14737     2.16356   0.0096856
           9      2.1526     2.16234   0.0086856
          10     2.04101     2.15021   0.0139134
          11     2.05363     2.14143   0.0151678
          12      2.1259     2.14013   0.0139589
          13     2.20323     2.14499    0.013703
          14     2.15385     2.14562   0.0127388
          15      2.1117     2.14336   0.0120886
          16     2.16808      2.1449   0.0114314
          17     2.14978     2.14519   0.0107626
          18     2.14215     2.14502    0.010166
          19     2.19515     2.14766  0.00996736
          20      2.1762     2.14909  0.00957063
