#   N_BLOCK:  ACCEPTANCE:
           1    0.448406
           2    0.448182
           3     0.44824
           4    0.448233
           5    0.448149
           6    0.448146
           7     0.44808
           8    0.448143
           9    0.448145
          10    0.448237
          11    0.448264
          12    0.448358
          13    0.448296
          14    0.448177
          15    0.448206
          16    0.448152
          17    0.448121
          18    0.448128
          19    0.448152
          20    0.448166
