#   N_BLOCK:  ACCEPTANCE:
           1    0.459155
           2    0.459104
           3    0.459181
           4    0.459242
           5    0.459267
           6    0.459274
           7    0.459143
           8    0.459194
           9    0.459109
          10    0.459139
          11    0.459074
          12    0.459081
          13    0.458993
          14    0.458832
          15    0.458878
          16    0.458853
          17    0.458786
          18    0.458827
          19    0.458893
          20     0.45886
