#   N_BLOCK:  ACCEPTANCE:
           1     0.53386
           2    0.533738
           3    0.533744
           4    0.533604
           5    0.533746
           6    0.533676
           7    0.533534
           8     0.53352
           9      0.5336
          10    0.533585
          11    0.533569
          12    0.533578
          13    0.533569
          14    0.533484
          15    0.533477
          16    0.533413
          17    0.533359
          18    0.533403
          19     0.53344
          20    0.533445
