#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.36        0.36           0
           2        0.16        0.26   0.0707107
           3        0.16    0.226667   0.0544331
           4         0.2        0.22   0.0412311
           5        0.12         0.2   0.0375233
           6        0.16    0.193333   0.0318562
           7        0.12    0.182857   0.0289767
           8        0.08        0.17   0.0280624
           9        0.08        0.16   0.0266667
          10         0.2       0.164   0.0242981
          11        0.36    0.181818   0.0278668
          12        0.52        0.21   0.0371558
          13        0.56    0.236923   0.0429584
          14        0.56        0.26   0.0456696
          15        0.48    0.274667   0.0449184
          16         0.6       0.295   0.0464859
          17         0.6    0.312941   0.0470865
          18        0.72    0.335556   0.0496047
          19         0.8        0.36   0.0526737
          20        0.56        0.37   0.0509804
          21        0.52    0.377143   0.0490506
          22        0.44        0.38   0.0469042
          23        0.52    0.386087   0.0452581
          24        0.48        0.39   0.0435412
          25        0.48      0.3936   0.0419481
          26        0.44    0.395385   0.0403726
          27        0.52         0.4   0.0391403
          28        0.52    0.404286   0.0379763
          29        0.56    0.409655   0.0370444
          30         0.6       0.416   0.0363489
          31        0.64    0.423226   0.0358874
          32        0.68     0.43125   0.0356517
          33        0.56    0.435152   0.0347842
          34         0.6        0.44   0.0340974
          35         0.6    0.444571   0.0334282
          36        0.44    0.444444   0.0324999
          37        0.24    0.438919   0.0320878
          38        0.28    0.434737   0.0315147
          39        0.28    0.430769   0.0309554
          40        0.24       0.426   0.0305467
          41        0.16    0.419512   0.0304828
          42        0.24    0.415238   0.0300552
          43         0.2    0.410233   0.0297701
          44        0.12    0.403636   0.0298154
          45           0    0.394667   0.0304722
          46         0.2    0.390435   0.0301022
          47        0.24    0.387234   0.0296314
          48        0.24    0.384167   0.0291724
          49        0.16    0.379592   0.0289335
          50        0.08      0.3736   0.0289686
          51        0.04    0.367059   0.0291298
          52       -0.16    0.356923   0.0302816
          53       -0.12    0.347925   0.0310185
          54       -0.28    0.336296   0.0325508
          55        -0.4    0.322909   0.0346025
          56        -0.4        0.31   0.0363128
          57       -0.32    0.298947   0.0373199
          58       -0.24    0.289655   0.0378156
          59       -0.28        0.28   0.0383875
          60       -0.24    0.271333   0.0387137
          61        -0.2    0.263607   0.0388425
          62       -0.24    0.255484    0.039056
          63       -0.24    0.247619     0.03922
          64       -0.24        0.24   0.0393403
          65        -0.2    0.233231   0.0393131
          66       -0.32    0.224848    0.039601
          67       -0.36    0.216119   0.0399604
          68       -0.48    0.205882   0.0406629
          69       -0.32    0.198261   0.0407816
          70        -0.2    0.192571   0.0405939
          71       -0.36    0.184789   0.0407614
          72       -0.24    0.178889     0.04062
          73       -0.16    0.174247   0.0403279
          74       -0.24    0.168649   0.0401696
          75        -0.2    0.163733   0.0399336
          76       -0.16    0.159474   0.0396347
          77       -0.16    0.155325   0.0393365
          78       -0.12    0.151795   0.0389903
          79       -0.24    0.146835   0.0388109
          80       -0.16       0.143   0.0385148
          81       -0.24    0.138272   0.0383284
          82       -0.24    0.133659   0.0381376
          83       -0.28    0.128675   0.0380024
          84       -0.32    0.123333   0.0379235
          85       -0.36    0.117647   0.0379012
          86       -0.28    0.113023   0.0377415
          87       -0.52    0.105747   0.0380026
          88       -0.52   0.0986364   0.0382302
          89       -0.64   0.0903371    0.038691
          90       -0.92   0.0791111   0.0398564
          91       -0.88   0.0685714   0.0407882
          92       -0.92   0.0578261   0.0417363
